What is your name?,"Anxious, easily upset","Calm, emotionally stable","Conventional, uncreative","Critical, quarrelsome","Dependable, self-disciplined","Open to new experiences, complex","Disorganized, careless","Extraverted, enthusiastic","Sympathetic, warm","Reserved, quiet",Cooked a meal with others,Climbed Arthur's Seat,Cycled,Danced to the music with others,Go to Commonwealth Swimming pool,Go to the university gym (pleasance),Learned some words in a completely new language,Made new friends for life,Performed in a team sports,Read a fiction book,Saw a long-haired ginger Scottish cow,Spoke to a person born in Edinburgh,Tried eating haggis,Visited Botanic Gardens,Visited Castle,Walk around the meadows,Went out for a meal with friends,Went to the cinema,Went to the Student Union,Went to the university library,p0,p1,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p2,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p3,p4,p5,p6,p7,p8,p9
p00,6,5,2,2,5,7,2,5,5,4,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,5,4,3,2,3,3,3,3,3,4,3,4,3,5,3,3,3,3,3,3,1,4,3,4,4,3,3,4,4,1
p01,5,2,5,5,7,7,5,7,7,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,5,1,5,2,1,2,2,4,5,5,1,4,5,5,5,2,5,1,3,5,5,5,5,5,2,4,4,4,5,5
p03,6,6,5,4,4,5,5,3,6,7,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,4,4,4,1,3,2,4,3,4,3,4,4,2,4,4,1,4,2,3,4,4,4,4,5,5,4,4,4,4,4
p04,6,5,3,4,7,7,3,5,5,5,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,2,4,1,3,3,4,3,2,2,5,3,2,4,2,1,3,3,2,2,4,4,5,5,5,2,4,3,3,5
p05,2,6,1,3,5,6,2,2,2,6,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,4,4,4,1,1,2,1,2,5,4,4,3,2,2,4,1,4,1,2,5,4,4,4,3,2,5,4,2,3,1
p06,5,7,2,7,6,7,1,7,7,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,4,3,5,1,1,4,3,5,5,5,3,4,3,5,3,1,4,3,5,5,5,5,5,4,5,5,5,5,5,1
p07,5,6,2,5,6,7,5,6,6,7,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,4,3,4,1,4,2,2,4,2,3,4,4,5,4,2,1,3,1,4,2,4,4,4,3,4,2,5,1,4,2
p08,2,7,2,4,7,5,3,4,7,5,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,4,4,4,1,3,3,2,4,3,3,3,4,2,5,3,1,4,1,5,3,4,4,3,3,4,3,5,4,5,1
p09,2,6,5,2,6,6,2,2,6,6,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,3,4,5,1,3,1,5,1,2,4,5,4,2,1,2,1,1,4,4,2,4,4,4,5,5,2,4,2,3,5
p10,6,3,1,1,7,7,1,6,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,4,4,5,1,1,3,1,4,4,4,1,3,4,4,5,2,5,2,4,4,5,4,5,4,4,4,5,4,4,4
p11,3,3,2,4,4,4,4,7,5,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,2,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p12,5,5,6,1,6,4,2,2,4,7,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,3,2,2,1,1,1,2,1,2,2,2,3,3,3,2,1,1,2,2,2,2,2,2,2,3,1,2,4,3,2
p13,6,6,5,4,7,5,2,4,5,6,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,3,2,3,1,1,5,1,5,2,3,3,3,2,3,2,3,2,2,5,3,3,2,2,3,3,3,5,3,3,3
p14,3,7,1,7,7,6,1,5,5,4,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,4,4,4,1,3,1,5,1,1,2,5,4,2,1,1,1,1,3,3,3,4,5,4,3,5,2,4,4,4,5
p15,5,6,6,2,6,6,3,3,7,6,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,4,3,4,1,1,5,1,5,3,2,3,3,2,4,3,1,2,2,5,2,4,3,3,3,4,2,5,4,4,1
p16,5,3,4,5,4,6,6,7,5,2,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,4,4,4,2,1,2,1,3,5,5,1,3,2,3,5,3,5,1,2,5,4,4,4,4,2,5,4,2,3,1
p17,5,5,6,2,5,3,2,3,6,6,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,3,4,4,1,1,2,1,2,4,1,1,3,3,2,4,1,4,1,2,4,4,4,2,2,1,3,3,2,2,2
p18,2,3,5,4,5,6,4,5,4,2,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,4,3,4,1,1,1,4,1,2,2,5,4,2,4,1,1,1,3,4,1,4,4,4,4,5,4,4,4,2,5
p19,5,4,2,3,5,6,3,3,6,4,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,4,4,3,1,2,2,3,3,2,3,5,5,5,3,2,1,2,1,4,2,3,4,3,3,3,2,4,4,2,2
p2,3,5,4,3,5,5,3,5,5,4,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,3,4,4,1,4,1,1,1,2,4,2,4,5,3,2,2,1,2,3,2,3,3,3,2,1,3,3,4,3,1
p20,1,6,3,3,6,7,2,7,4,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,5,4,4,2,5,3,1,5,4,4,2,4,4,5,4,1,3,1,5,4,4,4,3,3,4,4,5,5,5,1
p21,2,7,3,4,7,6,1,4,7,7,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,4,5,3,1,2,1,2,5,5,1,3,3,3,1,5,5,1,2,5,4,4,3,3,2,4,3,2,3,1
p22,3,6,3,6,6,4,1,6,6,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,5,1,2,1,1,3,1,1,1,1,1,5,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1
p23,4,6,3,5,6,6,1,6,3,2,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,4,5,5,1,1,1,1,4,5,4,3,4,2,4,5,1,5,1,2,5,5,5,4,4,4,4,4,4,4,1
p24,5,2,6,3,4,4,5,3,5,5,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,4,2,2,1,1,1,3,1,2,1,3,2,2,1,1,1,1,5,2,2,2,2,2,2,3,1,2,2,2,3
p25,1,7,1,4,6,7,1,7,6,4,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,4,4,4,1,2,5,2,5,2,3,4,4,3,5,3,1,3,2,5,2,4,3,2,2,4,3,5,4,4,2
p26,5,5,3,5,4,6,5,6,5,3,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,3,5,4,2,1,2,1,2,5,5,2,4,3,4,5,2,5,1,2,5,4,5,4,3,4,5,4,4,3,1
p27,2,6,1,5,7,6,2,3,7,6,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,4,5,5,1,1,3,1,5,4,5,2,3,3,5,5,1,5,2,3,4,5,4,5,4,4,5,5,4,5,1
p28,2,7,1,6,4,5,6,5,7,7,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,4,5,5,1,1,2,4,3,5,5,4,4,2,4,4,1,5,2,4,5,4,5,4,4,4,5,4,4,4,1
p29,2,5,3,5,4,6,2,6,5,4,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,4,4,5,1,1,2,4,3,4,3,4,4,3,2,3,1,5,2,2,3,5,5,5,4,5,4,5,4,4,3